epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.41,1.50301,3.45119,1.74502,0.90201,0.28571,0.41466,0.14232,1.40601,2.8922,1.4451,0.00034296,0.00034296,0.00034296
2,30.2342,1.36335,2.25186,1.52894,0.27976,0.85,0.62081,0.37835,1.24133,2.7941,1.3818,0.000686346,0.000686346,0.000686346
3,42.8785,1.32165,1.745,1.47542,0.89215,0.53571,0.90856,0.62433,1.08134,2.07543,1.4705,0.00101558,0.00101558,0.00101558
4,54.9905,1.33738,1.70492,1.59558,0.78226,0.65647,0.78382,0.46815,1.42659,2.12795,1.73779,0.00133068,0.00133068,0.00133068
5,67.5262,1.33001,1.57469,1.56063,0.97949,0.86415,0.91709,0.52782,1.48171,1.57325,1.75731,0.00131582,0.00131582,0.00131582
6,79.9364,1.3111,1.47192,1.54023,0.91644,0.94893,0.95518,0.52673,1.57475,1.03145,1.92716,0.00128753,0.00128753,0.00128753
7,95.2066,1.29568,1.33693,1.50456,0.89154,0.8643,0.94591,0.63566,1.15464,1.1511,1.51316,0.00125923,0.00125923,0.00125923
8,108.091,1.28493,1.24471,1.51937,0.74962,0.9209,0.87472,0.48927,1.62181,1.58319,1.8917,0.00123094,0.00123094,0.00123094
9,120.93,1.28443,1.20321,1.48811,0.98085,0.94609,0.95529,0.73461,0.89028,0.72774,1.26371,0.00120265,0.00120265,0.00120265
10,133.625,1.26614,1.17153,1.47763,0.87765,0.9473,0.93931,0.74459,0.88423,0.84545,1.27336,0.00117435,0.00117435,0.00117435
11,145.993,1.19799,1.05487,1.43015,0.97249,0.81819,0.92814,0.57916,1.33021,0.8695,1.59422,0.00114606,0.00114606,0.00114606
12,158.432,1.17122,0.98419,1.41797,0.96015,0.95833,0.955,0.69892,1.0519,0.54866,1.40781,0.00111776,0.00111776,0.00111776
13,171.582,1.17398,0.95985,1.42943,0.9636,0.951,0.95729,0.7354,0.95675,0.54258,1.40534,0.00108947,0.00108947,0.00108947
14,183.864,1.22433,0.96568,1.46959,0.95574,0.82342,0.86889,0.68357,0.87505,1.061,1.24903,0.00106118,0.00106118,0.00106118
15,196.992,1.16137,0.88237,1.4111,0.97703,0.91667,0.94958,0.70109,0.99991,0.60272,1.35579,0.00103288,0.00103288,0.00103288
16,211.713,1.15085,0.90246,1.40709,0.97175,0.95833,0.955,0.76399,0.88903,0.49112,1.23822,0.00100459,0.00100459,0.00100459
